Quarter,Group,customer_category,Product_Class,Stock,Profit_Margin
2020Q1,Const Supplies CS/SD,Better,BRUPAI,N,29.796747967479668
2020Q1,Const Supplies CS/SD,Better,BRUPAI,Y,29.87012987012987
2020Q1,Const Supplies CS/SD,Better,BRUTUB,N,28.09917355371901
2020Q1,Const Supplies CS/SD,Better,CHEABS,Y,30.387012781416125
2020Q1,Const Supplies CS/SD,Better,CHEADH,N,28.991891891891896
2020Q1,Const Supplies CS/SD,Better,CHEADH,Y,40.41281912004345
2020Q1,Const Supplies CS/SD,Better,CHECAU,N,26.77484787018255
2020Q1,Const Supplies CS/SD,Better,CHECAU,Y,23.468559837728193
2020Q1,Const Supplies CS/SD,Better,CHECHA,N,23.893805309734507
2020Q1,Const Supplies CS/SD,Better,CHECHA,Y,31.38211382113821
2020Q1,Const Supplies CS/SD,Better,CHECLE,N,29.95665117009508
2020Q1,Const Supplies CS/SD,Better,CHECLE,Y,29.46913580246914
2020Q1,Const Supplies CS/SD,Better,CHECOO,N,29.16385135135135
2020Q1,Const Supplies CS/SD,Better,CHELAY,N,32.25806451612903
2020Q1,Const Supplies CS/SD,Better,CHELAY,Y,26.315789473684205
2020Q1,Const Supplies CS/SD,Better,CHELUB,N,22.017382898897388
2020Q1,Const Supplies CS/SD,Better,CHELUB,Y,23.415867534149427
2020Q1,Const Supplies CS/SD,Better,CHEMET,N,35.950413223140494
2020Q1,Const Supplies CS/SD,Better,CHEMET,Y,29.411764705882348
2020Q1,Const Supplies CS/SD,Better,CHEMIS,N,28.400342172797263
2020Q1,Const Supplies CS/SD,Better,CHEMIS,Y,22.361763058364772
2020Q1,Const Supplies CS/SD,Better,CHEOIL,N,18.27549075426392
2020Q1,Const Supplies CS/SD,Better,CHEOIL,Y,25.355450236966824
2020Q1,Const Supplies CS/SD,Better,CHEPAI,N,29.63855421686748
2020Q1,Const Supplies CS/SD,Better,CHEPAI,Y,30.000000000000004
2020Q1,Const Supplies CS/SD,Better,CHETEF,Y,21.98872373141979
2020Q1,Const Supplies CS/SD,Better,CUTARB,N,27.29885057471264
2020Q1,Const Supplies CS/SD,Better,CUTARB,Y,26.54320987654321
2020Q1,Const Supplies CS/SD,Better,CUTBAN,N,19.00175131348511
2020Q1,Const Supplies CS/SD,Better,CUTBIT,N,27.868852459016395
2020Q1,Const Supplies CS/SD,Better,CUTBIT,Y,30.02001334222815
2020Q1,Const Supplies CS/SD,Better,CUTBUR,N,31.957928802588995
2020Q1,Const Supplies CS/SD,Better,CUTBUR,Y,29.49308755760368
2020Q1,Const Supplies CS/SD,Better,CUTCHU,N,35.273972602739725
2020Q1,Const Supplies CS/SD,Better,CUTCIR,N,31.98757763975156
2020Q1,Const Supplies CS/SD,Better,CUTCIR,Y,29.945054945054952
2020Q1,Const Supplies CS/SD,Better,CUTCUT,N,20.513849859494176
2020Q1,Const Supplies CS/SD,Better,CUTCUT,Y,32.433375
2020Q1,Const Supplies CS/SD,Better,CUTDIE,N,24.99018453082057
2020Q1,Const Supplies CS/SD,Better,CUTDIE,Y,24.31945392491468
2020Q1,Const Supplies CS/SD,Better,CUTFIL,N,23.71343445287107
2020Q1,Const Supplies CS/SD,Better,CUTFIL,Y,28.25
2020Q1,Const Supplies CS/SD,Better,CUTHOL,N,30.07518796992481
2020Q1,Const Supplies CS/SD,Better,CUTHOL,Y,29.897750511247445
2020Q1,Const Supplies CS/SD,Better,CUTINS,N,19.022687609075053
2020Q1,Const Supplies CS/SD,Better,CUTMIS,N,23.94495412844037
2020Q1,Const Supplies CS/SD,Better,CUTMIS,Y,19.39393939393939
2020Q1,Const Supplies CS/SD,Better,CUTPUN,N,36.97478991596638
2020Q1,Const Supplies CS/SD,Better,CUTREA,N,22.23418130804341
2020Q1,Const Supplies CS/SD,Better,CUTREA,Y,31.973515305682263
2020Q1,Const Supplies CS/SD,Better,CUTTAP,N,26.010101010101007
2020Q1,Const Supplies CS/SD,Better,CUTTAP,Y,26.29231504231504
2020Q1,Const Supplies CS/SD,Better,CUTWHL,N,22.71923955634736
2020Q1,Const Supplies CS/SD,Better,CUTWHL,Y,24.97109826589596
2020Q1,Const Supplies CS/SD,Better,ELEADP,N,29.99999999999999
2020Q1,Const Supplies CS/SD,Better,ELEADP,Y,31.503759398496243
2020Q1,Const Supplies CS/SD,Better,ELEBAT,N,28.2051282051282
2020Q1,Const Supplies CS/SD,Better,ELEBAT,Y,26.315789473684205
2020Q1,Const Supplies CS/SD,Better,ELEBUL,N,55.79638752052544
2020Q1,Const Supplies CS/SD,Better,ELEBUL,Y,30.37974683544304
2020Q1,Const Supplies CS/SD,Better,ELEEXT,N,30.019193857965448
2020Q1,Const Supplies CS/SD,Better,ELEEXT,Y,20.05259697567391
2020Q1,Const Supplies CS/SD,Better,ELELIG,N,17.190396460989046
2020Q1,Const Supplies CS/SD,Better,ELELIG,Y,19.97090909090909
2020Q1,Const Supplies CS/SD,Better,ELEMIS,N,18.99617375647085
2020Q1,Const Supplies CS/SD,Better,ELEPLG,N,24.975124378109456
