,Year,Group,Product_Class,customer_category,Profit_Margin,Product Class,Category,Target Margin,Margin Difference(%)
592,2020,Const Supplies CS/SD,MIGMIS,Best,100.0,MIGMIS,Best,28.0,72.0
600,2020,Const Supplies CS/SD,POWACC,Best,26.49787702468942,POWACC,Best,34.0,-7.502122975310581
603,2020,Const Supplies CS/SD,POWCHP,Best,12.184873949579837,POWCHP,Best,12.0,0.1848739495798366
606,2020,Const Supplies CS/SD,POWDRE,Best,14.739133233554554,POWDRE,Best,12.0,2.739133233554554
609,2020,Const Supplies CS/SD,POWEXP,Best,67.20555555555555,POWEXP,Best,12.0,55.20555555555555
611,2020,Const Supplies CS/SD,POWGRE,Best,15.174477840040742,POWGRE,Best,12.0,3.1744778400407423
614,2020,Const Supplies CS/SD,POWHAE,Best,13.278148049409044,POWHAE,Best,12.0,1.2781480494090438
617,2020,Const Supplies CS/SD,POWMIS,Best,24.513888888888896,POWMIS,Best,12.0,12.513888888888896
621,2020,Const Supplies CS/SD,POWPAR,Best,26.868288963720687,POWPAR,Best,34.0,-7.131711036279313
624,2020,Const Supplies CS/SD,POWRAT,Best,12.28354102605599,POWRAT,Best,12.0,0.28354102605599074
629,2020,Const Supplies CS/SD,POWSAW,Best,13.840684502289708,POWSAW,Best,12.0,1.840684502289708
634,2020,Const Supplies CS/SD,POWVAC,Best,13.526396006353398,POWVAC,Best,12.0,1.526396006353398
637,2020,Const Supplies CS/SD,POWWRE,Best,14.396758319692895,POWWRE,Best,12.0,2.3967583196928945
640,2020,Const Supplies CS/SD,POWWRP,Best,14.157303370786517,POWWRP,Best,12.0,2.157303370786517
644,2020,Const Supplies CS/SD,SAFBOO,Best,15.97908192911098,SAFBOO,Best,34.0,-18.02091807088902
647,2020,Const Supplies CS/SD,SAFCAP,Best,19.79031044597206,SAFCAP,Best,34.0,-14.209689554027939
650,2020,Const Supplies CS/SD,SAFCOV,Best,17.057130759109153,SAFCOV,Best,34.0,-16.942869240890847
653,2020,Const Supplies CS/SD,SAFDRI,Best,28.94228706286205,SAFDRI,Best,34.0,-5.05771293713795
656,2020,Const Supplies CS/SD,SAFETY,Best,19.274977895667554,SAFETY,Best,34.0,-14.725022104332446
659,2020,Const Supplies CS/SD,SAFEXT,Best,24.941176470588243,SAFEXT,Best,34.0,-9.058823529411757
662,2020,Const Supplies CS/SD,SAFFIR,Best,32.167832167832174,SAFFIR,Best,34.0,-1.8321678321678263
665,2020,Const Supplies CS/SD,SAFGLA,Best,19.34121621621621,SAFGLA,Best,34.0,-14.65878378378379
668,2020,Const Supplies CS/SD,SAFGLO,Best,18.0,SAFGLO,Best,34.0,-16.0
671,2020,Const Supplies CS/SD,SAFGOG,Best,15.92741935483871,SAFGOG,Best,34.0,-18.07258064516129
674,2020,Const Supplies CS/SD,SAFHAR,Best,20.337446487030974,SAFHAR,Best,22.0,-1.6625535129690263
677,2020,Const Supplies CS/SD,SAFKNE,Best,15.779092702169624,SAFKNE,Best,34.0,-18.220907297830376
680,2020,Const Supplies CS/SD,SAFLAN,Best,16.792738275340398,SAFLAN,Best,34.0,-17.207261724659602
683,2020,Const Supplies CS/SD,SAFLEN,Best,-30.75213675213676,SAFLEN,Best,34.0,-64.75213675213676
684,2020,Const Supplies CS/SD,SAFLIF,Best,19.92941064298126,SAFLIF,Best,22.0,-2.07058935701874
687,2020,Const Supplies CS/SD,SAFMAT,Best,18.005893909626714,SAFMAT,Best,34.0,-15.994106090373286
688,2020,Const Supplies CS/SD,SAFMIS,Best,17.136842105263153,SAFMIS,Best,34.0,-16.863157894736847
690,2020,Const Supplies CS/SD,SAFNOI,Best,20.230230230230234,SAFNOI,Best,34.0,-13.769769769769766
693,2020,Const Supplies CS/SD,SAFRAI,Best,17.533593846484195,SAFRAI,Best,34.0,-16.466406153515805
697,2020,Const Supplies CS/SD,SAFROL,Best,18.006762111046534,SAFROL,Best,34.0,-15.993237888953466
699,2020,Const Supplies CS/SD,SAFSIG,Best,9.940891993551851,SAFSIG,Best,34.0,-24.05910800644815
702,2020,Const Supplies CS/SD,SAFTAG,Best,20.050215208034437,SAFTAG,Best,34.0,-13.949784791965563
